Generation,Avg Fitness,best Fitness,fitness overall best know, H/H,Overlappings,M.Rate
0,0.277,2.0,2.0,6,9,50
1,0.34166664,2.0,2.0,4,9,48
2,0.38766667,2.0,2.0,4,9,46
3,0.4960476,2.0,2.0,6,9,48
4,0.51076186,2.0,2.0,7,9,50
5,0.5095952,2.0,2.0,7,9,48
6,0.5380953,2.0,2.0,7,9,50
7,0.5585953,2.0,2.0,7,9,52
8,0.64076203,2.0,2.0,7,9,50
9,0.60733336,2.0,2.0,7,9,48
10,0.5975,2.0,2.0,7,9,46
11,0.6311667,2.0,2.0,6,9,48
12,0.5886667,2.0,2.0,7,9,50
13,0.6811666,3.0,3.0,8,9,48
14,0.6136666,3.0,3.0,8,9,46
15,0.6613333,2.0,3.0,8,9,48
16,0.6614999,2.0,3.0,8,9,46
17,0.6781666,3.0,3.0,8,9,48
18,0.704,3.0,3.0,8,9,46
19,0.6053333,2.0,3.0,6,4,48
20,0.6063334,2.0,3.0,5,4,50
21,0.5611667,2.0,3.0,6,4,48
22,0.54366666,2.0,3.0,7,4,50
23,0.51266676,3.0,3.0,7,4,52
24,0.563,2.0,3.0,6,4,54
25,0.61483335,2.0,3.0,5,4,52
26,0.68416655,2.0,3.0,5,3,50
27,0.6216666,2.0,3.0,5,3,52
28,0.72166663,3.0,3.0,5,3,50
29,0.6583333,3.0,3.0,5,3,48
30,0.6316667,3.0,3.0,5,3,46
31,0.6275,3.0,3.0,5,3,44
32,0.60916674,3.0,3.0,5,3,46
33,0.5941666,3.0,3.0,5,3,48
34,0.68000007,3.0,3.0,5,3,50
35,0.6841667,3.0,3.0,5,3,52
36,0.66833335,3.0,3.0,5,3,50
37,0.64583343,3.0,3.0,7,3,48
38,0.64083326,3.0,3.0,7,3,46
39,0.70166665,3.0,3.0,7,3,48
40,0.7433333,3.0,3.0,5,3,46
41,0.8375001,3.0,3.0,5,3,44
42,0.8258335,3.0,3.0,5,3,46
43,0.79750013,3.0,3.0,5,3,48
44,0.8366667,3.0,3.0,4,3,46
45,0.84583336,3.0,3.0,4,3,48
46,0.8091667,3.0,3.0,4,3,46
47,0.8108335,3.0,3.0,5,3,48
48,0.8625,3.0,3.0,5,3,46
49,0.90416664,3.0,3.0,5,3,48
50,0.77416664,3.0,3.0,5,3,46
51,0.76999986,3.0,3.0,7,3,44
52,0.70333326,3.0,3.0,5,3,46
53,0.7158333,3.0,3.0,4,3,44
54,0.7641666,3.0,3.0,5,3,46
55,0.8283334,3.0,3.0,5,3,44
56,0.79583335,3.0,3.0,5,3,46
57,0.79333335,3.0,3.0,5,3,48
58,0.76250005,3.0,3.0,5,3,50
59,0.7850001,3.0,3.0,4,3,48
60,0.73,3.0,3.0,3,3,50
61,0.76166666,3.0,3.0,4,3,48
62,0.83416665,3.0,3.0,4,3,50
63,0.86166674,3.0,3.0,5,3,52
64,0.87583333,3.0,3.0,5,3,50
65,0.86833334,3.0,3.0,5,3,48
66,0.86999995,3.0,3.0,3,3,46
67,0.8741667,3.0,3.0,3,3,44
68,0.9066666,3.0,3.0,3,3,46
69,0.95666665,3.0,3.0,4,2,44
70,1.0866666,3.0,3.0,3,2,46
71,0.9800001,3.0,3.0,3,2,48
72,0.96333337,3.0,3.0,3,2,46
73,1.0300001,3.0,3.0,3,2,48
74,1.0300001,3.0,3.0,3,2,46
75,1.07,3.0,3.0,4,2,48
76,1.0600001,3.0,3.0,4,2,50
77,1.1066667,3.0,3.0,4,2,48
78,0.9966667,3.0,3.0,4,2,46
79,0.86333334,3.0,3.0,3,2,48
80,0.8499999,3.0,3.0,3,2,50
81,0.84666663,3.0,3.0,3,2,52
82,0.84333336,3.0,3.0,4,2,50
83,0.9433334,3.0,3.0,4,2,52
84,0.9766667,3.0,3.0,4,2,50
85,1.0033333,3.0,3.0,4,2,48
86,1.21,3.0,3.0,4,2,50
87,1.2500001,3.0,3.0,4,2,48
88,1.1733334,3.0,3.0,4,2,46
89,1.15,3.0,3.0,4,2,48
90,1.1500001,3.0,3.0,4,2,46
91,1.0266668,3.0,3.0,4,2,48
92,1.1666667,3.0,3.0,4,2,46
93,1.1600001,3.0,3.0,4,2,48
94,1.09,3.0,3.0,4,2,50
95,1.01,3.0,3.0,3,2,52
96,1.0433334,3.0,3.0,3,2,54
97,0.94000006,3.0,3.0,3,2,52
98,1.05,3.0,3.0,3,2,50
99,0.96666664,3.0,3.0,3,2,48
100,1.1633334,3.0,3.0,3,2,50
